InvoiceLineID,country,cancelled,name,orgID,currency,salesman,validInvoice,InvoiceID,LineNum,Edition,ValidFrom,ValidTo,Amount,Tax,IsTransferrable,Renewed,Computers,numberTransferable,numberStandard,ComputersToRenew
20939,United States,0,Integrated Research Associates,01110821-33f9-442e-bcc2-cef712f85025,USD,,1,609d096f-30c5-4b06-9807-930cb0557bde,0,P,1443139200000,1455753600000,599.19000000000005,0,0,1,1,0,1,
20940,Australia,0,IDP Education Pty Ltd,6eb28ec8-0a97-4e38-9f28-dafce092fb64,AUD,,1,69b1708f-6210-4896-aaef-9f948f9217ef,0,P,1448668800000,1480291200000,3150,286.36000000000001,0,0,2,0,2,
20941,United Kingdom,0,Incite - UK,2e373647-b45e-4238-8473-9d28e4fa5ef1,USD,4,0,a4851858-c254-46ff-afce-b44b62861504,0,P,1443398400000,1459382400000,0,0,0,0,3,0,0,0
20942,United Kingdom,0,Incite - UK,2e373647-b45e-4238-8473-9d28e4fa5ef1,USD,4,0,a4851858-c254-46ff-afce-b44b62861504,1,P,1443398400000,1459382400000,0,0,1,0,-1,0,0,
20943,Australia,0,RFi Australia,84a35780-f83a-41c9-bcff-7ab3d2e49713,AUD,,1,75c33646-6a6a-415c-bb20-ff3c7d8135e5,0,P,1443398400000,1472256000000,1008.17,91.650000000000006,0,0,1,0,1,
20944,Australia,0,MODO Group,dac2008d-7739-415f-bbf4-39e8fa3787ea,USD,,1,4cb597fd-515b-4286-b5ed-42753fd45bef,0,P,1443398400000,1468627200000,1198.3800000000001,0,0,1,1,0,1,
20945,United Kingdom,0,MESH,bf2216ba-0a0c-47bf-ac6e-1820c158f943,GBP,,1,4edffba0-80dd-4f7c-94b2-e3ac6e9c798b,0,P,1443398400000,1475020800000,2397.5999999999999,399.60000000000002,0,0,2,0,2,
20946,United Kingdom,1,B2B International,d5a5ec7d-c074-46d6-b9fd-ff8de22f69f3,GBP,,0,721eef8d-1185-4e3d-8a61-8376f15a5835,0,P,1448841600000,1480464000000,30069.900000000001,0,0,0,43,0,0,
20947,Australia,0,Vawser and Associates,679e3ad8-ae73-4196-a520-d0eec850347c,AUD,,1,4d8d23cb-a3b7-4761-83aa-553b41d0e2a5,0,P,1448841600000,1480464000000,1575,143.18000000000001,0,0,2,0,2,
20948,United States,0,Research Connections,b7efab9f-b5ad-4271-8e37-53ebe2d5d1be,USD,,1,3afcc811-1329-4535-96c8-c8a91a079c00,0,P,1443398400000,1475020800000,1499,0,0,0,1,0,1,
20949,Australia,0,RFi Australia,84a35780-f83a-41c9-bcff-7ab3d2e49713,AUD,,1,40d2505b-0549-4677-ba15-d955b2c441de,0,P,1443484800000,1472256000000,3015.46,274.13,0,0,3,0,3,
20950,Romania,1,Mercury Research,72150dbe-5d49-4b15-96a5-38fbeabcda08,EUR,,0,63e15548-226c-4067-ba95-6de0f3ea20ee,0,P,1443484800000,1475107200000,1099,0,0,0,1,0,0,
20951,Australia,0,Metrix Consulting,f6049231-c62b-4bfe-a08a-5e0e8bb8f814,AUD,,1,674ccfa0-9817-401a-9f63-164a5a0551a5,0,P,1443571200000,1467331200000,1897.3299999999999,172.47999999999999,0,1,2,0,2,
20952,Romania,1,Mercury Research,72150dbe-5d49-4b15-96a5-38fbeabcda08,GBP,,0,8a138048-216f-4cee-a61f-bd8cbc558fe3,0,P,1443571200000,1475107200000,1197.98,199.66,0,0,1,0,0,
20953,Romania,1,Mercury Research,72150dbe-5d49-4b15-96a5-38fbeabcda08,GBP,,0,ceba1317-05b9-48ee-a699-971efe1ed3fb,0,P,1443484800000,1475107200000,1198.8,199.80000000000001,0,0,1,0,0,
20954,Romania,1,Mercury Research,72150dbe-5d49-4b15-96a5-38fbeabcda08,GBP,,0,bfd58710-76a7-4f60-89c1-13435cf96922,0,P,1443571200000,1475107200000,1198.8,199.80000000000001,0,0,1,0,0,
20955,United States,0,Phoenix Marketing International,96b9953f-d76f-4ae8-b642-d9b13678768c,USD,4,1,b511f83d-80c5-4f08-a2de-96aa451c75b2,0,P,1443571200000,1471651200000,1200.4300000000001,0,0,0,1,0,1,
20956,Romania,0,Mercury Research,72150dbe-5d49-4b15-96a5-38fbeabcda08,EUR,,1,ee7f4da8-5b80-4d39-9f59-df37abc539be,0,P,1443571200000,1475107200000,1099,0,0,0,1,0,1,
20957,Australia,0,deciBel research,8acdda0b-08b1-4dce-ac8f-ce974ba0f479,AUD,704,1,a86eaea7-083d-43e6-8302-172531508242,0,P,1449014400000,1480636800000,1575,143.18000000000001,0,0,1,0,1,
20958,Australia,0,Direction First,6649ca4c-e8b2-4b4e-b0ca-c8087123cb95,AUD,,1,27fb7cf8-8ce6-4acd-9543-d019e0d1b8df,0,P,1443744000000,1478304000000,1477.5,134.31999999999999,0,0,1,0,1,
20959,Australia,0,Direction First,6649ca4c-e8b2-4b4e-b0ca-c8087123cb95,AUD,,1,27fb7cf8-8ce6-4acd-9543-d019e0d1b8df,1,P,1446681600000,1478304000000,5396.3999999999996,490.57999999999998,0,0,4,0,4,
20960,Australia,0,Millward Brown - Australia,520db807-acdc-4d65-ad73-14468a7c7ecf,AUD,,0,5234564d-96d6-48b9-b51a-a9d59599b8f2,0,P,1443830400000,1456790400000,0,0,0,1,1,0,0,
20961,Australia,1,Bulla Dairy Foods,62808fe4-2946-4bbf-85f2-63cc4b1ea728,AUD,704,0,3b44d7dc-cf64-46d2-828d-b60fadceda6f,0,P,1449273600000,1480896000000,1575,143.18000000000001,0,0,1,0,0,
20962,Australia,1,Pollinate,c55db45d-669f-465a-a0d1-fc4d9ff4a144,AUD,4,0,523874c0-d45d-4679-b3d6-d025c8f58639,0,P,1449187200000,1480809600000,11340,1030.9100000000001,0,0,8,0,0,
20963,Australia,0,Can You See It,a67bd234-a168-4a35-8fd6-3b7a23d0ae9b,AUD,,1,af829d77-ee20-4aa3-be59-e1476c412d16,0,P,1449187200000,1480809600000,1575,143.18000000000001,0,0,1,0,1,
20964,United States,0,Chadwick Martin Bailey,7f4094ee-3d2f-4e33-87a5-9ffa07688baf,USD,4,1,054d0d34-0b83-4d0a-a15c-be96bf3e07a2,0,P,1449360000000,1480982400000,1499,0,0,0,1,0,1,
20965,United States,0,incite - USA,592d782a-86a8-49c3-88c7-6b3b98860f58,AUD,704,1,967c5ffb-090a-4157-a248-07b8126be463,0,P,1443916800000,1459382400000,3068.1700000000001,0,0,1,6,0,6,
20966,United States,0,incite - USA,592d782a-86a8-49c3-88c7-6b3b98860f58,AUD,704,1,967c5ffb-090a-4157-a248-07b8126be463,1,P,1443916800000,1459382400000,0,0,0,1,7,0,7,
20967,Australia,0,data2decisions,275b86e5-4e46-4511-a136-eca17314bc8a,AUD,4,0,89d67122-5ca2-4a1f-a26a-3e7006da5b35,0,P,1444003200000,1470268800000,0,0,0,1,1,0,0,
20968,United Kingdom,0,Discovery Research - UK,1e342cd5-ca95-40ab-b717-9bc97f401c1c,GBP,4,0,d93a5c2e-d93f-40e4-9724-b2149e710300,0,P,1449446400000,1481068800000,2997,0,0,0,3,0,0,
20969,United Kingdom,0,Quadrangle,16d616a0-6814-457e-98ab-1c6529b65a73,GBP,,1,2a7b8ae4-d7f9-4bc1-b420-cee6036c7354,0,P,1449446400000,1481068800000,2997,0,0,0,3,0,3,
20970,Australia,0,The Leading Edge,4b68678a-94ae-4141-88aa-84bc37c2190d,AUD,704,1,a4a877e2-2555-4232-9176-7f3c414b514a,0,P,1444089600000,1460419200000,651.99000000000001,59.270000000000003,0,1,1,0,1,
20971,Australia,0,Ernst and Young Services Pty Ltd,edb6a616-4948-4ea9-8fe2-64ee125f9cd1,AUD,4,1,6c652746-5b1f-4d99-acf6-0531d636ef5b,0,P,1444089600000,1458864000000,516.15999999999997,46.920000000000002,0,1,1,0,1,
20972,Australia,0,"University of Technology, School of Management",a02a77ce-975c-4a10-aa6e-94c5fdd8040f,AUD,704,0,2e378716-de94-48d9-984f-7d033e4431d3,0,P,1444089600000,1505174400000,0,0,0,0,1,0,0,
20973,United States,1,delete me,93fe28c9-efd7-46de-bc1e-0f3ad163eb2e,USD,83000,0,40d6e304-06dc-4f80-b45a-acd0e7de33ad,0,P,1444089600000,1475712000000,1499,0,0,0,1,0,0,
20974,United States,0,delete me,93fe28c9-efd7-46de-bc1e-0f3ad163eb2e,USD,83000,0,8943ac81-afe1-435a-b2c3-1cb759052fcf,0,P,1444089600000,1475712000000,1632.04,133.03999999999999,0,0,1,0,0,
20975,United States,0,Alter Agents,50f21a09-565e-4e25-897b-22341b22712d,USD,4,1,813caf4a-7f98-4b87-ae0c-76ce6fa8b9e4,0,P,1449446400000,1481068800000,4497,0,1,0,1,1,0,
20976,Australia,1,Colmar Brunton Research - Australia,75cecd05-fa98-4d31-9310-bb0281be7cba,AUD,,0,23a30a7b-1b2e-4c6f-bd81-2ac8344fa247,0,P,1444003200000,1444176000000,0,0,0,0,2,0,0,0
20977,Australia,0,Nexus Planning & Research Ltd,b290b68b-01d7-4037-b639-da194591c920,AUD,,1,3d75ab2c-5675-4114-b772-ce3fa692137e,0,P,1449619200000,1481241600000,4725,429.55000000000001,0,0,3,0,3,
20978,Australia,0,Fairfax Agricultural Research & Marketing,3ea4d025-bcac-412d-ac9c-e3a825736b7a,AUD,,1,38270b2e-5ecf-4df2-8a0e-8e4643b94965,0,P,1444176000000,1475798400000,1575,143.18000000000001,0,0,1,0,1,
20979,Australia,0,So What Research,f0f263a3-a1fb-4bc7-ac75-16c5ae9ff960,AUD,704,1,2699de92-946d-4b45-b386-01263e617018,0,P,1444262400000,1464307200000,1000.41,90.950000000000003,0,1,1,0,1,
20980,Australia,0,IMS Health,b30b545b-a9a3-4bcf-b3a1-737ce220de8c,AUD,312,1,f7768ba4-9cd9-4563-8fdf-f0f28ed89f12,0,P,1444262400000,1473552000000,2631.25,239.19999999999999,0,0,2,0,2,
20981,Australia,0,Antenna Insights Pty Ltd,f34bc68f-b5d6-423d-8cd2-15fb30b7dc6d,AUD,704,1,95e9674f-6b4f-4d45-8dd1-69ab5350afbb,0,P,1449705600000,1481328000000,1575,143.18000000000001,0,0,1,0,1,
20982,Australia,0,Parallel Data Research,4fbf9c74-c6ee-4e67-8c9f-5b8a88472401,AUD,704,1,cb8008e3-68be-4dc9-966f-d52d06f12cd3,0,P,1449705600000,1481328000000,3150,286.36000000000001,0,0,2,0,2,
20983,United States,0,Discovery Communications,dedd35a4-7cc6-4601-b0f1-564c6949f864,USD,,1,e9097fe4-215a-46ad-9c64-63d23ffbcfe4,0,P,1444348800000,1477872000000,2998,0,0,0,2,0,2,
20984,United States,1,Insight (on behalf of Prudential),0304f7c3-08c5-4d70-a5c7-982ca632a1fb,USD,,0,8ed8e729-94cd-4bcb-a642-c88269709bce,0,P,1449878400000,1481500800000,9593.6000000000004,0,0,0,8,0,0,
